ID,weight_BEFORE_bronze,weight_AFTER_gold,freight_BEFORE_bronze,freight_AFTER_gold,vendor_BEFORE_bronze,vendor_AFTER_gold,delay_days,is_delayed,delay_probability,risk_category
531,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,0,0,0.014,LOW
532,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-104,0,0.003,LOW
533,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-104,0,0.011,LOW
535,117,117.0,645.1,645.1,BRISTOL-MYERS SQUIBB,BRISTOL-MYERS SQUIBB,0,0,0.033,LOW
543,109,109.0,782.13,782.13,Orasure Technologies Inc.,Orasure Technologies Inc.,0,0,0.005,LOW
551,54,54.0,871.57,871.57,"Trinity Biotech, Plc","Trinity Biotech, Plc",0,0,0.0,LOW
598,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-3,0,0.001,LOW
610,2719,2719.0,18614.72,18614.72,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.257,LOW
630,115,115.0,1755.87,1755.87,IDA FOUNDATION,IDA FOUNDATION,-169,0,0.002,LOW
637,2600,2600.0,10179.16,10179.16,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.254,LOW
646,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-2,0,0.056,LOW
660,1224,1224.0,4686.88,4686.88,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0,0,0.025,LOW
668,34,34.0,180,180.0,ZEPHYR BIOMEDICALS,ZEPHYR BIOMEDICALS,0,0,0.0,LOW
670,1053,1053.0,11062.05,11062.05,"Orgenics, Ltd","Orgenics, Ltd",0,0,0.055,LOW
712,Weight Captured Separately,1047.0,Invoiced Separately,,"Trinity Biotech, Plc","Trinity Biotech, Plc",0,0,0.001,LOW
717,562,562.0,11298.13,11298.13,BIO-RAD LABORATORIES (FRANCE),BIO-RAD LABORATORIES (FRANCE),0,0,0.157,LOW
719,1708,1708.0,12830.91,12830.91,IDA FOUNDATION,IDA FOUNDATION,0,0,0.008,LOW
772,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),29,1,0.453,MEDIUM
791,46,46.0,2698.04,2698.04,"Orgenics, Ltd","Orgenics, Ltd",0,0,0.007,LOW
796,1,1.0,578.01,578.01,"Trinity Biotech, Plc","Trinity Biotech, Plc",0,0,0.002,LOW
797,100,100.0,1122.24,1122.24,"Standard Diagnostics, Inc.","Standard Diagnostics, Inc.",0,0,0.009,LOW
835,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-220,0,0.001,LOW
836,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,0,0,0.001,LOW
837,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-220,0,0.006,LOW
838,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-220,0,0.076,LOW
839,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-220,0,0.007,LOW
849,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,ZEPHYR BIOMEDICALS,ZEPHYR BIOMEDICALS,0,0,0.0,LOW
858,4093,4093.0,9339,9339.0,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),0,0,0.024,LOW
914,5209,5209.0,25405.22,25405.22,IDA FOUNDATION,IDA FOUNDATION,0,0,0.015,LOW
937,1906,1906.0,23914.8,23914.8,"Trinity Biotech, Plc","Trinity Biotech, Plc",0,0,0.002,LOW
960,3509,3509.0,12835.2,12835.2,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.05,LOW
961,"See ASN-3562 (ID#:960)",1047.0,"See ASN-3562 (ID#:960)",,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.03,LOW
962,924,924.0,4225.93,4225.93,CIPLA LIMITED,CIPLA LIMITED,0,0,0.016,LOW
979,211,211.0,892.5,892.5,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.021,LOW
985,644,644.0,6668.61,6668.61,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0,0,0.005,LOW
986,237,237.0,Freight Included in Commodity Cost,,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0,0,0.042,LOW
993,2800,2800.0,12595.81,12595.81,Premier Medical Corporation Ltd.,Premier Medical Corporation Ltd.,0,0,0.077,LOW
1037,11,11.0,463,463.0,BRISTOL-MYERS SQUIBB,BRISTOL-MYERS SQUIBB,0,0,0.001,LOW
1046,43,43.0,260,260.0,BRISTOL-MYERS SQUIBB,BRISTOL-MYERS SQUIBB,0,0,0.001,LOW
1047,"See ASN-3675 (ID#:1046)",1047.0,"See ASN-3675 (ID#:1046)",,BRISTOL-MYERS SQUIBB,BRISTOL-MYERS SQUIBB,0,0,0.003,LOW
1048,10,10.0,893.22,893.22,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0,0,0.068,LOW
1063,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-119,0,0.062,LOW
1065,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-125,0,0.04,LOW
1066,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-125,0,0.014,LOW
1067,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-133,0,0.01,LOW
1068,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-133,0,0.083,LOW
1070,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-130,0,0.007,LOW
1077,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-65,0,0.005,LOW
1078,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-20,0,0.072,LOW
1079,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-8,0,0.005,LOW
1080,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,0,0,0.056,LOW
1084,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-72,0,0.05,LOW
1085,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-57,0,0.045,LOW
1086,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-66,0,0.057,LOW
1095,48,48.0,1172.11,1172.11,Orasure Technologies Inc.,Orasure Technologies Inc.,0,0,0.006,LOW
1109,2523,2523.0,14806.48,14806.48,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0,0,0.011,LOW
1110,175,175.0,7642.97,7642.97,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0,0,0.002,LOW
1111,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-101,0,0.007,LOW
1114,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-28,0,0.001,LOW
1115,Weight Captured Separately,1047.0,3134.85,3134.85,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-22,0,0.014,LOW
1122,144,144.0,3128.19,3128.19,Orasure Technologies Inc.,Orasure Technologies Inc.,0,0,0.003,LOW
1134,2215,2215.0,16835.31,16835.31,"Orgenics, Ltd","Orgenics, Ltd",0,0,0.219,LOW
1140,1915,1915.0,24514.33,24514.33,"Orgenics, Ltd","Orgenics, Ltd",0,0,0.071,LOW
1156,4482,4482.0,37404.74,37404.74,HETERO LABS LIMITED,HETERO LABS LIMITED,0,0,0.058,LOW
1162,1101,1101.0,8074.03,8074.03,BIO-RAD LABORATORIES (FRANCE),BIO-RAD LABORATORIES (FRANCE),0,0,0.474,MEDIUM
1179,48,48.0,3366.04,3366.04,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0,0,0.002,LOW
1183,1804,1804.0,6341.88,6341.88,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.017,LOW
1196,12,12.0,684.42,684.42,Orasure Technologies Inc.,Orasure Technologies Inc.,28,1,0.47,MEDIUM
1198,48,48.0,401.97,401.97,"Orgenics, Ltd","Orgenics, Ltd",0,0,0.01,LOW
1213,148,148.0,14.36,14.36,BRISTOL-MYERS SQUIBB,BRISTOL-MYERS SQUIBB,0,0,0.001,LOW
1215,79,79.0,1736.18,1736.18,"Trinity Biotech, Plc","Trinity Biotech, Plc",0,0,0.005,LOW
1221,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,0,0,0.064,LOW
1222,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-68,0,0.083,LOW
1223,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-76,0,0.005,LOW
1245,165,165.0,1816.57,1816.57,BIO-RAD LABORATORIES (FRANCE),BIO-RAD LABORATORIES (FRANCE),0,0,0.028,LOW
1246,15,15.0,1039.5,1039.5,Orasure Technologies Inc.,Orasure Technologies Inc.,0,0,0.104,LOW
1251,555,555.0,3292.15,3292.15,BRISTOL-MYERS SQUIBB,BRISTOL-MYERS SQUIBB,0,0,0.008,LOW
1262,36,36.0,1195.29,1195.29,Orasure Technologies Inc.,Orasure Technologies Inc.,0,0,0.012,LOW
1279,135,135.0,Freight Included in Commodity Cost,,INTERNATIONAL HEALTHCARE DISTRIBUTORS,INTERNATIONAL HEALTHCARE DISTRIBUTORS,0,0,0.002,LOW
1281,479,479.0,4861.14,4861.14,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.008,LOW
1282,2575,2575.0,18772.94,18772.94,CIPLA LIMITED,CIPLA LIMITED,0,0,0.022,LOW
1283,9170,9170.0,42453.21,42453.21,STRIDES ARCOLAB LIMITED,STRIDES ARCOLAB LIMITED,0,0,0.051,LOW
1285,316,316.0,4989.87,4989.87,"Trinity Biotech, Plc","Trinity Biotech, Plc",0,0,0.08,LOW
1295,25,25.0,Freight Included in Commodity Cost,,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0,0,0.001,LOW
1298,6813,6813.0,31858.09,31858.09,CIPLA LIMITED,CIPLA LIMITED,0,0,0.026,LOW
1299,"See ASN-242 (ID#:64)",1047.0,"See ASN-242 (ID#:64)",,CIPLA LIMITED,CIPLA LIMITED,0,0,0.18,LOW
1300,"See ASN-242 (ID#:64)",1047.0,"See ASN-242 (ID#:64)",,CIPLA LIMITED,CIPLA LIMITED,0,0,0.004,LOW
1303,Weight Captured Separately,1047.0,Invoiced Separately,,Abbott GmbH & Co. KG,Abbott GmbH & Co. KG,0,0,0.006,LOW
1306,2348,2348.0,21439.59,21439.59,CIPLA LIMITED,CIPLA LIMITED,0,0,0.019,LOW
1307,402,402.0,4445.75,4445.75,BIO-RAD LABORATORIES (FRANCE),BIO-RAD LABORATORIES (FRANCE),15,1,0.461,MEDIUM
1309,1707,1707.0,24859.45,24859.45,Abbott GmbH & Co. KG,Abbott GmbH & Co. KG,0,0,0.01,LOW
1337,306,306.0,Freight Included in Commodity Cost,,BRISTOL-MYERS SQUIBB,BRISTOL-MYERS SQUIBB,0,0,0.006,LOW
1347,1194,1194.0,5858.57,5858.57,Abbott GmbH & Co. KG,Abbott GmbH & Co. KG,0,0,0.013,LOW
1350,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,BRISTOL-MYERS SQUIBB,BRISTOL-MYERS SQUIBB,0,0,0.008,LOW
1356,960,960.0,13762.41,13762.41,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.03,LOW
1357,"See ASN-744 (ID#:1356)",1047.0,"See ASN-744 (ID#:1356)",,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.022,LOW
1358,"See ASN-781 (ID#:115)",1047.0,"See ASN-781 (ID#:115)",,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.022,LOW
1359,332,332.0,4454.62,4454.62,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.017,LOW
1360,1955,1955.0,16095.39,16095.39,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.048,LOW
1361,117,117.0,1767.38,1767.38,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0,0,0.006,LOW
1383,3336,3336.0,25165.3,25165.3,"Standard Diagnostics, Inc.","Standard Diagnostics, Inc.",0,0,0.066,LOW
1502,157,157.0,7922.24,7922.24,ASPEN PHARMACARE,ASPEN PHARMACARE,0,0,0.006,LOW
1512,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,"JSI R&T INSTITUTE, INC.","JSI R&T INSTITUTE, INC.",0,0,0.002,LOW
1513,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,"JSI R&T INSTITUTE, INC.","JSI R&T INSTITUTE, INC.",0,0,0.001,LOW
1519,337,337.0,2535.4,2535.4,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0,0,0.007,LOW
1527,3336,3336.0,28002.75,28002.75,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","CHEMBIO DIAGNOSTIC SYSTEMS, INC.",0,0,0.113,LOW
1529,113,113.0,1511.25,1511.25,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0,0,0.002,LOW
1530,125,125.0,2429.85,2429.85,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.01,LOW
1531,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,Orasure Technologies Inc.,Orasure Technologies Inc.,0,0,0.02,LOW
1549,148,148.0,2577.27,2577.27,"Orgenics, Ltd","Orgenics, Ltd",0,0,0.034,LOW
1587,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,"JSI R&T INSTITUTE, INC.","JSI R&T INSTITUTE, INC.",-17,0,0.002,LOW
1593,154,154.0,2496.62,2496.62,"Trinity Biotech, Plc","Trinity Biotech, Plc",0,0,0.0,LOW
1594,2907,2907.0,18864.37,18864.37,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","CHEMBIO DIAGNOSTIC SYSTEMS, INC.",-65,0,0.006,LOW
1618,9000,9000.0,55746.59,55746.59,"Trinity Biotech, Plc","Trinity Biotech, Plc",0,0,0.007,LOW
1628,2052,2052.0,24689,24689.0,"Trinity Biotech, Plc","Trinity Biotech, Plc",0,0,0.003,LOW
1634,284,284.0,Freight Included in Commodity Cost,,"Orgenics, Ltd","Orgenics, Ltd",-7,0,0.048,LOW
1637,79,79.0,1104.69,1104.69,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","CHEMBIO DIAGNOSTIC SYSTEMS, INC.",0,0,0.001,LOW
1638,682,682.0,5298.9,5298.9,"Orgenics, Ltd","Orgenics, Ltd",-5,0,0.067,LOW
1643,Weight Captured Separately,1047.0,Invoiced Separately,,"Orgenics, Ltd","Orgenics, Ltd",-4,0,0.013,LOW
1644,255,255.0,5175.72,5175.72,"Orgenics, Ltd","Orgenics, Ltd",0,0,0.02,LOW
1645,256,256.0,7118.12,7118.12,"Orgenics, Ltd","Orgenics, Ltd",0,0,0.02,LOW
1646,832,832.0,3740.04,3740.04,"Trinity Biotech, Plc","Trinity Biotech, Plc",0,0,0.003,LOW
1647,49,49.0,959.46,959.46,"Orgenics, Ltd","Orgenics, Ltd",0,0,0.007,LOW
1648,39,39.0,604,604.0,Orasure Technologies Inc.,Orasure Technologies Inc.,0,0,0.013,LOW
1660,Weight Captured Separately,1047.0,Invoiced Separately,,"Orgenics, Ltd","Orgenics, Ltd",-27,0,0.048,LOW
1673,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,0,0,0.093,LOW
1674,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,0,0,0.008,LOW
1675,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,0,0,0.004,LOW
1691,507,507.0,4159.45,4159.45,Aurobindo Pharma Limited,Aurobindo Pharma Limited,-17,0,0.03,LOW
1693,522,522.0,3796.05,3796.05,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0,0,0.01,LOW
1719,17,17.0,Freight Included in Commodity Cost,,"Orgenics, Ltd","Orgenics, Ltd",0,0,0.004,LOW
1722,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-18,0,0.007,LOW
1723,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,0,0,0.009,LOW
1724,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-18,0,0.001,LOW
1730,Weight Captured Separately,1047.0,Invoiced Separately,,"Orgenics, Ltd","Orgenics, Ltd",0,0,0.008,LOW
1797,81,81.0,3013.09,3013.09,BRISTOL-MYERS SQUIBB,BRISTOL-MYERS SQUIBB,0,0,0.001,LOW
1798,502,502.0,7575.6,7575.6,STRIDES ARCOLAB LIMITED,STRIDES ARCOLAB LIMITED,0,0,0.062,LOW
